node1,node2,simRate,merge
infected individuals,a grammar,0.241422139,
outflow of each patch,SIRS dynamics,0.241396309,
simulations,the established ways,0.241244137,
Flexibility,one,0.241213841,
an endemic equilibrium,( chapters sir  intro ),0.241161385,
Z _  _,an example (,0.241157487,
a capita rate beta I,SIRS dynamics,0.240970296,
a model,[ epicookbook chapters  intro ) ),0.240857395,
the elements on ,susceptibles in patches,0.240600561,
each time step,( Z _ Z _ ),0.24052886,
This model,trees,0.240496999,
models,a language,0.240462797,
D,this code,0.240440039,
Beta rate of rate,( Z _ Z _ ),0.240161306,
births,These features,0.240142441,
SIRS ( susceptible ) infection dynamics in a infinite population of households,Wikipedia,0.239867025,
births,Wikipedia,0.23984801,
( ie inverse of mean incubation period,Z _  _,0.239569262,
models,Brownian motion,0.239446679,
patches,I,0.239369405,
The susceptible ( SIS ) model,deaths,0.239354541,
D,a record of the number of infection,0.239312426,
a capita rate Gamma,( https:doiorg  ),0.239304684,
SIRS dynamics,time,0.239185191,
a stochastic process for the transmission rate,Wikipedia,0.23917903,
Z _  _,Newick format,0.238951425,
matrix Beta,time,0.238741548,
deaths,The susceptible model,0.238738392,
two metapopulation SEIR models,( chapters sir  intro ),0.238665723,
forecasting of in,Black,0.238617945,
zero,compartmental models,0.23841415,
we,Parameters,0.238382459,
Parameters,We,0.238382459,
the final sizeof,Black,0.238361837,
parametric models,you,0.238337037,
one infection event,genealogies,0.238326557,
zero,( chapters sir  intro ),0.238321074,
SIRS dynamics,efficient methods for,0.238314683,
R recovered D,a grammar,0.238304062,
a special case of a general model,recursion,0.238087498,
each time step,SIRS dynamics,0.237950924,
models,an example (,0.237900325,
time,Black,0.237845438,
The probabilities,Wikipedia,0.237748203,
I,trees,0.237626853,
i,trees,0.237626853,
Equations Cross - coupling,infected individuals,0.237597662,
( chapters sir  intro ),the Kingman coalescent,0.237475265,
Cross - coupling between patches,St,0.237351976,
a capita rate Gamma,Z _,0.237338466,
deaths,The Kingman coalescent,0.237327641,
the simplest models,S,0.237060008,
( ie inverse of mean incubation period,genealogies,0.237050296,
births,The Newick format,0.237033456,
( https:doiorg  ),downward drift on the transmission rate,0.236995722,
alternative forms for the process,Wikipedia,0.23696615,
zero,Black,0.236950337,
[ epicookbook chapters  intro ) ),Wikipedia,0.236761964,
R recovered D,proportions of ,0.236678241,
zero,models,0.236544568,
matrix Beta,the established ways,0.236234491,
dependent drift :,infection,0.236197985,
R recovered D,rate immunity,0.236061155,
parametric models,it,0.235777726,
genealogies,an clear [ wiki  Newick_format ) of this grammar,0.235676672,
that model times,genealogies,0.235607375,
they,Newick format,0.235470095,
between patch contact,models,0.235252999,
simulations,The details,0.235044291,
D,a stochastic process for these parameters,0.23495749,
The susceptible model,Simon Frost,0.234953904,
( Z _ Z _ ),a language,0.23493711,
Date,the coalescent,0.234912308,
many SEIR models,( chapters sir  intro ),0.234618633,
S,a grammar,0.234594358,
Equations Cross - coupling,who,0.234527318,
Parameters,it,0.234522872,
Sigma rate of breakdown,genealogies,0.234480131,
rate immunity,a grammar,0.234399186,
matrix Beta,recursion,0.234361041,
I_d infectious,this,0.23424514,
D,birth of in this model,0.234185699,
additional mortality,simulations,0.234177684,
Date,Z _,0.234009322,
deaths,One way,0.233988775,
proportions of ,Newick format,0.233911131,
patches,many SEIR models,0.23383727,
many SEIR models,[ epicookbook chapters  intro ) ),0.233831923,
patches,which,0.233672658,
Flexibility,an example (,0.233605823,
D,part of the state of the art,0.23359587,
cross - coupling,patches,0.233521426,
we,symptoms,0.233457482,
symptoms,We,0.233457482,
downward drift on the transmission rate,genealogies,0.233413849,
symptoms,Wikipedia,0.233313413,
R,rate case fatality ratio ( proportion rate (,0.233286981,
births,a grammar,0.233237898,
the state,genealogies,0.233143481,
symptoms,The models,0.233112054,
migration between patches,R recovered D,0.23305842,
Element C_ij,interventions,0.23298533,
[ epicookbook chapters  intro ) ),some assumptions,0.232949311,
D,the probability of all paths,0.232853969,
D,a stochastic process for the transmission rate,0.232763124,
patches,downward drift on the transmission rate,0.232686951,
matrix Beta,symptoms,0.232608155,
a capita rate Gamma,Z Z,0.232506836,
models,Newick format,0.232498719,
this process,genealogies,0.23249401,
outflow of each patch,D,0.232347803,
https:doiorgjmbs  ) ,they,0.232224055,
SIRS dynamics,numerous extensions to the coalescent,0.232161456,
pneumococcal transmission,Brownian motion,0.231973088,
( https:doiorg  ),the state,0.231970851,
Equations Cross - coupling,interventions,0.231867855,
I,These features,0.231813777,
i,These features,0.231813777,
( https:doiorg  ),a grammar,0.231712584,
The susceptible ( SIS ) model,Wikipedia,0.231620678,
R,the number of infection events,0.231419601,
matrix Beta,this,0.231294602,
a capita rate Gamma,D,0.231264547,
the effective contact rates,Black,0.231207688,
Individuals,trees,0.231146831,
individuals,trees,0.231146831,
the flow from patch,Z _  _,0.231117365,
migration between patches,[ epicookbook chapters  intro ) ),0.23110578,
SEIRD model ,the final sizeof,0.231053307,
time,infection,0.230996438,
matrix Beta,the state,0.23099379,
a special case of a general model,D,0.23086934,
E,the Kingman coalescent,0.2307553,
pneumococcal transmission,the final sizeof,0.230683369,
the state,Newick format,0.230621274,
rate case fatality ratio ( proportion rate (,trees,0.230561958,
( https:doiorg  ),efficient methods for,0.230541161,
one of the simplest models,Wikipedia,0.230507182,
I_d infectious,a flow diagram,0.230461587,
https:doiorgjmbs  ) ,a grammar,0.230252367,
an endemic equilibrium,genealogies,0.230234714,
the coalescent,Wikipedia,0.230199967,
proportions of ,[ epicookbook chapters  intro ) ),0.230094118,
outflow of each patch,recursion,0.230043433,
Z _,an example (,0.229898517,
patches,dependent drift :,0.229838407,
Brownian motion,Newick format,0.229785354,
i,efficient methods for,0.229723938,
I,efficient methods for,0.229723938,
the probability of all paths,Wikipedia,0.229691575,
Simon Frost,it,0.229615018,
cross - coupling,( Z _ Z _ ),0.229460178,
I,proportions of ,0.229415375,
One way,Wikipedia,0.229341373,
matrix Beta,you,0.22933525,
https:doiorgjmbs  ) ,the model of,0.229049461,
state variables with a system of,Wikipedia,0.229037502,
that model times,Wikipedia,0.22897898,
Z _,Newick format,0.228927675,
matrix Beta,D,0.228835734,
the SIR model,recursion,0.228715585,
E,a simple SIR model,0.228602765,
other models,recursion,0.228542759,
infection,a simple SIR model,0.228430867,
https:doiorgjmbs  ) ,one,0.228299703,
This code,symptoms,0.22827407,
SIRS dynamics,a way,0.22789068,
SIRS ( susceptible ) infection dynamics in a infinite population of households,R,0.227800049,
( https:doiorg  ),a recovery event,0.227786452,
compartmental models,time,0.227773374,
deaths,these models,0.227714083,
deaths,These models,0.227714083,
an endemic equilibrium,Date,0.227665835,
the method,Wikipedia,0.227495268,
Parameters,a way,0.227299203,
the form S,Wikipedia,0.22715875,
an endemic equilibrium,Black,0.226787799,
R,One way,0.226729938,
rate case fatality ratio ( proportion rate (,simulations,0.226721979,
patches,other models,0.226576161,
values,Z Z,0.22656644,
a special case of a general model,Wikipedia,0.226435356,
susceptibles in patches,The susceptible model,0.226364525,
( chapters sir  intro ),Z Z,0.226255521,
Element C_ij,I,0.226201384,
Element C_ij,i,0.226201384,
outflow of each patch,Z _,0.226126227,
SEIRD model ,recursion,0.22586126,
migration between patches,recursion,0.225689485,
S,these parameters,0.225657139,
S,We,0.225562207,
S,we,0.225562207,
R,the number of recovery events,0.22553772,
Equations Cross - coupling,R,0.225517255,
( https:doiorg  ),a simple SIR model,0.225470078,
( https:doiorg  ),the efficacy of interventions,0.225367445,
Flexibility,The Kingman coalescent,0.22535541,
susceptibles in patches,the number of recovery events,0.22530788,
a record of the number of infection,Wikipedia,0.225238511,
https:doiorgjmbs  ) ,Element C_ij,0.225236306,
Equations Cross - coupling,symptoms,0.225036452,
the dynamics of the Ebola virus,Newick format,0.224895899,
The Newick format,Wikipedia,0.224817046,
The implementation in this section,Wikipedia,0.224631658,
a model,trees,0.224595923,
that model times,Z _,0.224435838,
the method of ( Cox ),St,0.224432225,
R,deterministic  time analogues of  model passage times,0.224254384,
susceptibles in patches,the effect of,0.224230751,
i,parametric models,0.223967502,
I,parametric models,0.223967502,
a Binomial distribution with k,https:doiorgjmbs  ) ,0.223921531,
that model times,recursion,0.223845676,
D,[ epicookbook chapters  intro ) ),0.223750661,
deaths,trees,0.223565206,
zero,SIRS dynamics,0.223563519,
the number of infection events,Wikipedia,0.223560221,
Lloyd Jansen,R recovered D,0.223526755,
R,Simon Frost,0.223501216,
E,a way,0.223469987,
many SEIR models,R,0.223150683,
birth of in this model,( Z _ Z _ ),0.223085041,
( chapters sir  intro ),the coalescent,0.223060422,
an endemic equilibrium,[ epicookbook chapters  intro ) ),0.223027038,
SEIRD model ,Individuals,0.223008436,
model,individuals,0.223008436,
model,Individuals,0.223008436,
individuals,SEIRD model ,0.223008436,
patches,each time step,0.222982651,
SIRS dynamics,an exposed infectious class,0.222974411,
patches,interest in the total number of people,0.222869213,
downward drift on the transmission rate,Wikipedia,0.222748274,
E,an clear [ wiki  Newick_format ) of this grammar,0.222656817,
This code,trees,0.222529243,
Model description,births,0.2224699,
Model description,symptoms,0.222234674,
I R We,additional mortality,0.222056194,
the system,Wikipedia,0.222055715,
pneumococcal transmission,Newick format,0.221795866,
one of the simplest models,( https:doiorg  ),0.221653488,
The model in a closed population,Wikipedia,0.221523796,
Z _  _,Wikipedia,0.221496556,
deterministic  time analogues of  model passage times,Wikipedia,0.221421329,
a special case of a general model,genealogies,0.221212035,
a stochastic process for these parameters,Wikipedia,0.221069503,
part of the state of the art,Wikipedia,0.220973643,
time,models,0.220960426,
susceptibles in patches,the minimum value of the transmission rate Beta,0.220769977,
infection,part of the state of the art,0.220759659,
models,one infection event,0.220611749,
which,genealogies,0.2205954,
the efficacy of interventions,Black,0.22056303,
Date,genealogies,0.220528456,
we,R,0.220438179,
R,We,0.220438179,
an example (,Wikipedia,0.22039628,
matrix Beta,E,0.220364944,
SEIRD model ,all paths,0.22030549,
model,all paths,0.22030549,
matrix Beta,they,0.220290374,
simulations,a grammar,0.220233954,
Z _,the probability of all paths,0.220107434,
D,a way,0.219962605,
Parameters,one,0.219859919,
SEIRD model ,who,0.219739724,
model,who,0.219739724,
S,many SEIR models,0.219701542,
the method of ( Cox ),Simon Frost,0.219678192,
infection,other models,0.219627678,
https:doiorgjmbs  ) ,I R We,0.219487419,
This section,( Z _ Z _ ),0.219381745,
there,Simon Frost,0.219374733,
There,Simon Frost,0.219374733,
dependent drift :,Wikipedia,0.219359152,
we,deaths,0.219312984,
deaths,We,0.219312984,
symptoms,the SIR model,0.219294414,
Susceptible individuals,SEIRD model ,0.219137609,
model,Susceptible individuals,0.219137609,
simulations,The following,0.218951399,
a record of the number of infection,( Z _ Z _ ),0.218898588,
SIRS dynamics,an clear [ wiki  Newick_format ) of this grammar,0.218896095,
migration between patches,( chapters sir  intro ),0.218816019,
Element C_ij,infected individuals,0.218786648,
SIRS dynamics,different rates,0.218757496,
a Binomial distribution with k,St,0.218722731,
the efficacy of interventions,Newick format,0.218484223,
I,the coalescent,0.218375106,
R,The models,0.218322732,
a constant total population size ,Z _,0.218319548,
The model in a closed population,R,0.218257159,
S,Element C_ij,0.218099772,
https:doiorgjmbs  ) ,additional mortality,0.218083354,
Sigma rate of breakdown,Newick format,0.218022528,
cross - coupling,D,0.218009381,
which,simulations,0.217975218,
an endemic equilibrium,recursion,0.217948954,
D,time,0.217840656,
D,the state,0.217831397,
cross - coupling,I_d infectious,0.217659592,
simulations,a way,0.217597134,
many SEIR models,infection,0.217591758,
https:doiorgjmbs  ) ,the SIR model,0.217555921,
We,Newick format,0.217530876,
we,Newick format,0.217530876,
Simon Frost,you,0.217512723,
( Z _ Z _ ),a stochastic model of genealogies,0.217491789,
the efficacy of interventions,recursion,0.217463857,
Susceptible individuals,matrix Beta,0.217182861,
models,a recovery event,0.217168809,
This section,models,0.217112314,
an endemic equilibrium,I,0.217074037,
https:doiorgjmbs  ) ,infected individuals,0.216948807,
the states,Newick format,0.21685241,
the simplest models,Wikipedia,0.216832736,
infection,a language,0.216800287,
SIRS dynamics,large numbers of,0.216740509,
R,it,0.216610274,
the elements on ,deaths,0.216597395,
This code,R,0.216536708,
The model,symptoms,0.216449274,
deaths,these parameters,0.216411052,
pneumococcal transmission,a grammar,0.216381888,
symptoms,The details,0.216285171,
i,infected individuals,0.216206191,
infected individuals,I,0.216206191,
susceptibles in patches,the dynamics of the Ebola virus,0.216185926,
https:doiorgjmbs  ) ,Wikipedia,0.215979194,
a stochastic process for the transmission rate,( Z _ Z _ ),0.215958483,
deaths,it,0.215753698,
susceptibles in patches,the significant assumptions,0.215725711,
that model times,Z _  _,0.215715875,
some assumptions,Wikipedia,0.215535292,
symptoms,a model,0.215519675,
Z _  _,another language  things,0.215457115,
several features : age,Brownian motion,0.215432974,
E,a language,0.215428744,
The Newick format,trees,0.215421122,
Z Z,a flow diagram,0.2153959,
models,the state,0.215328901,
( https:doiorg  ),a flow diagram,0.215303094,
Sigma rate of breakdown,Black,0.215281241,
infected individuals,( https:doiorg  ),0.215232127,
interventions,all paths,0.21515419,
interventions,These features,0.215136189,
Brownian motion,Wikipedia,0.215136083,
Wikipedia,a way,0.215053124,
a capita rate Gamma,Z _  _,0.214950314,
dependent drift :,Newick format,0.214871303,
simulations,you,0.21485975,
each time step,I_d infectious,0.214830503,
matrix Beta,The details,0.214828211,
R,The Newick format,0.214822768,
between patch contact,genealogies,0.214811107,
Black,Wikipedia,0.214808729,
the effective contact rates,SIRS dynamics,0.214762397,
D,that model times,0.214728296,
The susceptible model,Wikipedia,0.214666946,
Z Z,a stochastic model of genealogies,0.214643059,
a Binomial distribution with k,deaths,0.214614377,
susceptibles in patches,These features,0.214611047,
interventions,The Newick format,0.214510649,
one of the simplest models,patches,0.213963747,
j flow from patch,SIRS dynamics,0.213918354,
the number of parasites per host,E,0.213845183,
R recovered D,Brownian motion,0.213797183,
I_d infectious,the SIR model,0.21372646,
infected individuals,models,0.213717964,
deaths,the model of,0.213701952,
[ epicookbook chapters  intro ) ),Z Z,0.213501894,
symptoms,a grammar,0.213484813,
( Z _ Z _ ),data structures,0.213460183,
Z _  _,the probability of all paths,0.213406756,
( Z _ Z _ ),a flow diagram,0.213399867,
different rates,Black,0.213381749,
between patch contact,D,0.213296469,
interventions,parametric models,0.213101964,
a grammar,trees,0.213101211,
We,simulations,0.21300904,
we,simulations,0.21300904,
( https:doiorg  ),a stochastic model of genealogies,0.212971003,
births,I,0.21294387,
births,i,0.21294387,
Sigma rate of breakdown,D,0.212907023,
a model,recursion,0.212849062,
D,Beta rate of rate,0.212809253,
the form S,Z Z,0.212801659,
a model,infection,0.212774845,
a Binomial distribution with k,Simon Frost,0.21258307,
the SIR model,Z Z,0.212145071,
all elements of C,SIRS dynamics,0.212050104,
one,Wikipedia,0.211965217,
this,models,0.211912655,
outflow of each patch,Z _  _,0.211758218,
infected individuals,parametric models,0.211735043,
[ epicookbook chapters  intro ) ),efficient methods for,0.211584455,
This section,infection,0.211580536,
S,births,0.211460719,
simulations,an example (,0.211458275,
Equations Cross - coupling,St,0.211280714,
the simplest models,R,0.211271571,
the flow from patch,genealogies,0.211217675,
a stochastic process for these parameters,Z _,0.211134635,
susceptibles in patches,they,0.210734249,
a special case of a general model,( Z _ Z _ ),0.210682478,
different rates,( https:doiorg  ),0.210624891,
the form S,genealogies,0.210584995,
an endemic equilibrium,Newick format,0.210527235,
This section,compartmental models,0.210452953,
rate case fatality ratio ( proportion rate (,Wikipedia,0.210402304,
This section,I_d infectious,0.210370762,
large numbers of,( Z _ Z _ ),0.210047857,
Brownian motion,( chapters sir  intro ),0.210006757,
rate immunity,models,0.209972082,
the flow from patch,Z Z,0.209911049,
this process,Wikipedia,0.209907523,
migration between patches,Wikipedia,0.20986431,
E,state variables with a system of,0.209620649,
R recovered D,pneumococcal transmission,0.209384411,
the model of,R,0.209030847,
( chapters sir  intro ),efficient methods for,0.209009109,
all elements on the row,St,0.208985099,
a special case of a general model,E,0.208933543,
I_d infectious,a way,0.208698966,
patches,efficient methods for,0.20868389,
R,the state of our model,0.208565065,
R,Parameters,0.208551196,
models,genealogies,0.208388867,
Z _,the Kingman coalescent,0.208329075,
time,genealogies,0.208244222,
patches,the efficacy of interventions,0.208221492,
state variables with a system of,Z _  _,0.208185545,
state variables with a system of,Z _,0.20797534,
The model,Wikipedia,0.20787088,
susceptibles in patches,R,0.207819613,
the effect of,Wikipedia,0.207742329,
patches,this process,0.207622913,
R,parameters as transmission rates,0.207575353,
a grammar,genealogies,0.20735942,
https:doiorgjmbs  ) ,The susceptible model,0.207181117,
St,the number of infection events,0.207150492,
R,the method,0.207128164,
D,a model,0.206928119,
SIRS dynamics,rate immunity,0.206496866,
R,the network model of ,0.206437078,
St,the number of recovery events,0.206357087,
D,the states,0.206354788,
This model,R,0.206345389,
a constant total population size ,Z _  _,0.206222387,
the model of,Wikipedia,0.206132931,
Wikipedia,you,0.206067886,
Equations Cross - coupling,births,0.206060251,
matrix Beta,I_d infectious,0.206038804,
cross - coupling,Newick format,0.206034425,
the elements on ,R,0.206010953,
values,Date,0.205915475,
interest in the total number of people,( Z _ Z _ ),0.205854356,
patches,an exposed infectious class,0.2058436,
SIRS dynamics,the number of susceptible individuals,0.205816831,
births,efficient methods for,0.205756224,
SIRS dynamics,genealogies,0.205754672,
S,these models,0.20561868,
S,These models,0.20561868,
i,SEIRD model ,0.20556917,
model,i,0.20556917,
I,SEIRD model ,0.20556917,
model,I,0.20556917,
E,the SIR model,0.205563169,
zero,Newick format,0.205534781,
( https:doiorg  ),other models,0.205412027,
models,recursion,0.205292421,
D,an example (,0.2052913,
infection,the state,0.205250706,
the state,Wikipedia,0.205218141,
D,interest in the total number of people,0.205024423,
infected individuals,the final sizeof,0.204882624,
the elements on ,Wikipedia,0.204805788,
which,( Z _ Z _ ),0.204790183,
the number of parasites per host,Wikipedia,0.204770419,
matrix Beta,Flexibility,0.204471165,
between patch contact,Z _,0.20442929,
This section,patches,0.204427519,
R recovered D,the coalescent,0.204357831,
I_d infectious,models,0.204128976,
individuals,https:doiorgjmbs  ) ,0.204076399,
https:doiorgjmbs  ) ,Individuals,0.204076399,
patches,the form S,0.203939821,
who,trees,0.203883852,
the final sizeof,Wikipedia,0.203728353,
outflow of each patch,Z Z,0.203716463,
R,Wikipedia,0.203690337,
patches,I_d infectious,0.2036844,
Wikipedia,The following,0.203644577,
interventions,you,0.203601332,
compartmental models,Black,0.203589511,
zero,recursion,0.203266745,
SIRS dynamics,alternative forms for the process,0.203213594,
I_d infectious,a language,0.203025159,
Lloyd Jansen,the SIR model,0.202863991,
I_d infectious,a simple SIR model,0.202826385,
an endemic equilibrium,( https:doiorg  ),0.202781511,
R,The susceptible model,0.202668535,
deaths,The details,0.202351088,
the efficacy of interventions,Wikipedia,0.20229072,
The model,R,0.20222591,
all elements on the row,Simon Frost,0.202094272,
between patch contact,Wikipedia,0.202092315,
( Z _ Z _ ),the Kingman coalescent,0.201819273,
S,Cross - coupling between patches,0.201711933,
compartmental models,this,0.20168036,
susceptibles in patches,Simon Frost,0.201655467,
Beta rate of rate,E,0.20163069,
Z _,another language  things,0.201582298,
patches,another language  things,0.201570267,
a capita rate Gamma,patches,0.201325517,
https:doiorgjmbs  ) ,The model,0.201284155,
patches,different rates,0.201192159,
D,Date,0.201179067,
the number of parasites per host,( Z _ Z _ ),0.200810324,
several features : age,( Z _ Z _ ),0.200714551,
patches,the Kingman coalescent,0.200633237,
patches,a stochastic process for the transmission rate,0.200548437,
SIRS dynamics,values,0.200506686,
patches,that model times,0.200484069,
symptoms,all paths,0.20019567,
I_d infectious,this code,0.200193737,
Model description,R,0.200107714,
R recovered D,Newick format,0.200063028,
https:doiorgjmbs  ) ,the significant assumptions,0.200029683,
E,( chapters sir  intro ),0.199939417,
a stochastic process for these parameters,Z _  _,0.199934347,
D,Black,0.199929784,
E,another language  things,0.199836748,
R,a way,0.199753242,
SEIRD model ,Date,0.199711017,
between patch contact,Z _  _,0.199644395,
the flow from patch,SIRS dynamics,0.199616364,
all elements on the row,Wikipedia,0.199400497,
a capita rate Gamma,SIRS dynamics,0.199380695,
a model,Wikipedia,0.199350691,
I,Newick format,0.199226468,
i,Newick format,0.199226468,
cross - coupling,E,0.199120025,
The susceptible ( SIS ) model,Simon Frost,0.198923901,
a constant total population size ,genealogies,0.198826327,
deaths,the network model of ,0.198736652,
SIRS dynamics,Beta rate of rate,0.198730706,
( https:doiorg  ),the SIR model,0.198616532,
one infection event,Wikipedia,0.198602702,
two metapopulation SEIR models,recursion,0.19858156,
deaths,These features,0.1985761,
D,the rate of transmission between individuals in the population,0.19854807,
S,all paths,0.198512513,
interventions,The details,0.198460792,
E,a flow diagram,0.198269762,
outflow of each patch,Wikipedia,0.198049054,
( https:doiorg  ),values,0.197979088,
patches,the rate of transmission between individuals in the population,0.19777243,
Equations Cross - coupling,Wikipedia,0.197735059,
Model description,infected individuals,0.197718668,
infected individuals,Flexibility,0.197671497,
R,efficient methods for,0.197617535,
Sigma rate of breakdown,( Z _ Z _ ),0.197609554,
[ epicookbook chapters  intro ) ),the coalescent,0.197237584,
a constant total population size ,Wikipedia,0.197219565,
migration between patches,SIRS dynamics,0.196987436,
two metapopulation SEIR models,patches,0.196765642,
E,Wikipedia,0.196688601,
https:doiorgjmbs  ) ,The probabilities,0.196646921,
SIRS dynamics,a record of the number of infection,0.196545765,
time,( Z _ Z _ ),0.196484444,
susceptibles in patches,The following,0.19646513,
the rate of transmission between individuals in the population,Wikipedia,0.196460938,
Sigma rate of breakdown,Z Z,0.196359439,
genealogies,recursion,0.196327921,
a simple SIR model,Z Z,0.196102104,
matrix Beta,( https:doiorg  ),0.19609757,
symptoms,parametric models,0.196055127,
the state of our model,Wikipedia,0.195934124,
Lloyd Jansen,Z Z,0.1958811,
I,infection,0.195866785,
I,data structures,0.195805068,
SIRS dynamics,this,0.195753103,
Beta rate of rate,genealogies,0.195669292,
D,a stochastic model of genealogies,0.195598235,
a model,( Z _ Z _ ),0.195520948,
Simon Frost,the dynamics of the Ebola virus,0.195505111,
D,a language,0.19546975,
pneumococcal transmission,Date,0.195393936,
pneumococcal transmission,values,0.195220504,
( Z _ Z _ ),part of the state of the art,0.195143957,
S,efficient methods for,0.195083913,
patches,zero,0.195017012,
R,one,0.194989551,
Parameters,they,0.194982677,
many SEIR models,recursion,0.194739487,
Beta rate of rate,Z _,0.194686228,
SIRS dynamics,interest in the total number of people,0.19460591,
I_d infectious,R recovered D,0.194522414,
I_d infectious,time,0.194146971,
R,parametric models,0.194128602,
the effect of,Simon Frost,0.193984528,
( Z _ Z _ ),the states,0.193912389,
susceptibles in patches,it,0.193812362,
interventions,I R We,0.193802682,
( https:doiorg  ),Wikipedia,0.193773986,
D,alternative forms for the process,0.193765847,
interest in the total number of people,Wikipedia,0.19351988,
Z _,a stochastic model of genealogies,0.193375449,
R,These features,0.192986054,
zero,infection,0.192964171,
deaths,Wikipedia,0.192953353,
matrix Beta,interventions,0.192941795,
Black,Z Z,0.192875551,
deaths,an example (,0.192630315,
downward drift on the transmission rate,Z Z,0.192622934,
susceptibles in patches,These models,0.192514915,
susceptibles in patches,these models,0.192514915,
R recovered D,( https:doiorg  ),0.192325479,
rate immunity,( chapters sir  intro ),0.192303799,
susceptibles in patches,Parameters,0.19229513,
R,an example (,0.19224563,
Brownian motion,Z Z,0.192222287,
a constant total population size ,Z Z,0.192144414,
patches,birth of in this model,0.192143533,
the effective contact rates,patches,0.19197512,
forecasting of in,Newick format,0.191901101,
one of the simplest models,( Z _ Z _ ),0.191783799,
https:doiorgjmbs  ) ,the dynamics of the Ebola virus,0.191656257,
the final sizeof,recursion,0.191653134,
compartmental models,Newick format,0.191591648,
R,the effect of,0.191415534,
they,Simon Frost,0.19132931,
matrix Beta,SIRS dynamics,0.19113335,
Z _  _,a language,0.191118294,
R,the system,0.191056793,
the flow from patch,E,0.191033087,
susceptibles in patches,the SIR model,0.190939549,
( chapters sir  intro ),Black,0.190806292,
symptoms,The Newick format,0.190567568,
Black,( Z _ Z _ ),0.190459067,
a Binomial distribution with k,susceptibles in patches,0.190359756,
Cross - coupling between patches,R,0.190305138,
downward drift on the transmission rate,( Z _ Z _ ),0.190280447,
Date,a flow diagram,0.19009584,
deaths,the system,0.189902584,
patches,a stochastic model of genealogies,0.189886181,
a recovery event,genealogies,0.189864601,
each time step,Z _,0.189780805,
D,dependent drift :,0.189722269,
Beta rate of rate,Z Z,0.189705467,
which,Wikipedia,0.189674868,
we,Simon Frost,0.189572236,
We,Simon Frost,0.189572236,
an exposed infectious class,Wikipedia,0.189337992,
deaths,The models,0.189308437,
Z _,a flow diagram,0.189273318,
D,large numbers of,0.189259568,
a way,recursion,0.18915209,
( https:doiorg  ),a model,0.189135475,
matrix Beta,Simon Frost,0.189127468,
Model description,trees,0.189072743,
the significant assumptions,Wikipedia,0.188880515,
births,St,0.188862584,
infection,a grammar,0.188777652,
E,one infection event,0.188703851,
( Z _ Z _ ),a grammar,0.188507301,
pneumococcal transmission,genealogies,0.188476931,
https:doiorgjmbs  ) ,matrix Beta,0.18840834,
infected individuals,( chapters sir  intro ),0.188375905,
deaths,I R We,0.188329954,
infection,Wikipedia,0.188302006,
that model times,Z Z,0.188023564,
This section,D,0.18794178,
E,a stochastic process for the transmission rate,0.187936175,
the SIR model,infection,0.187709679,
This section,genealogies,0.187640373,
patches,the states,0.187523662,
patches,part of the state of the art,0.187344898,
E,the states,0.187339796,
https:doiorgjmbs  ) ,a model,0.187339732,
SIRS dynamics,one infection event,0.187252103,
two metapopulation SEIR models,infection,0.187180982,
the number of parasites per host,D,0.187146183,
each time step,genealogies,0.186992822,
an endemic equilibrium,Wikipedia,0.186836214,
E,a recovery event,0.186817169,
matrix Beta,Black,0.18677771,
One way,simulations,0.186733685,
zero,( https:doiorg  ),0.186498578,
Beta rate of rate,Black,0.186400525,
susceptibles in patches,the established ways,0.186367522,
data structures,Wikipedia,0.18603676,
SIRS dynamics,a recovery event,0.185949166,
birth of in this model,recursion,0.185876445,
E,a record of the number of infection,0.185820999,
patches,a way,0.185743669,
each time step,E,0.185289404,
I_d infectious,a model,0.184918668,
( chapters sir  intro ),recursion,0.184846801,
patches,a special case of a general model,0.18482565,
R,The implementation in this section,0.184768909,
infected individuals,[ epicookbook chapters  intro ) ),0.184670538,
Brownian motion,[ epicookbook chapters  intro ) ),0.184652577,
Z _,a language,0.184574784,
a stochastic process for these parameters,Z Z,0.18454548,
E,the probability of all paths,0.184371289,
the minimum value of the transmission rate Beta,St,0.184218616,
parameters as transmission rates,Wikipedia,0.184139326,
E,an example (,0.183954051,
model,S,0.183807129,
S,SEIRD model ,0.183807129,
dependent drift :,Black,0.183651114,
SIRS dynamics,pneumococcal transmission,0.183616559,
susceptibles in patches,The probabilities,0.183561953,
who,R,0.183509578,
D,data structures,0.183408352,
other models,( Z _ Z _ ),0.183399547,
Date,Black,0.183360103,
The details,Wikipedia,0.183357898,
SIRS dynamics,I_d infectious,0.18332375,
S,Newick format,0.183235224,
susceptibles in patches,parameters as transmission rates,0.183123312,
each time step,Z _  _,0.182962797,
D,( https:doiorg  ),0.182722412,
https:doiorgjmbs  ) ,These features,0.182655732,
one infection event,( Z _ Z _ ),0.182646034,
SEIRD model ,R recovered D,0.182565588,
E,[ epicookbook chapters  intro ) ),0.182551504,
The model in a closed population,St,0.182536567,
One way,Simon Frost,0.182520779,
patches,Sigma rate of breakdown,0.182500518,
[ epicookbook chapters  intro ) ),the Kingman coalescent,0.182126289,
deaths,the process,0.182121979,
infected individuals,SEIRD model ,0.181907381,
model,infected individuals,0.181907381,
Susceptible individuals,https:doiorgjmbs  ) ,0.181865708,
Date,Wikipedia,0.181832669,
